model_name,sorting,group,Pred,Real,Std,SR
NN1,univariate,Low(L),-2.81,-0.78,8.79,-0.31
NN1,univariate,2,-0.97,0.25,6.91,0.12
NN1,univariate,3,-0.27,0.54,5.87,0.32
NN1,univariate,4,0.19,0.72,5.39,0.46
NN1,univariate,5,0.57,0.82,5.06,0.56
NN1,univariate,6,0.91,0.99,5.08,0.67
NN1,univariate,7,1.27,1.13,5.09,0.77
NN1,univariate,8,1.68,1.30,5.22,0.86
NN1,univariate,9,2.26,1.47,5.68,0.90
NN1,univariate,High(H),3.70,1.97,6.72,1.01
NN1,univariate,H-L,6.51,2.75,4.46,2.13
NN1,independent,Low(L),-2.44,-0.51,6.53,-0.27
NN1,independent,2,-0.96,0.23,6.02,0.13
NN1,independent,3,-0.27,0.58,5.96,0.34
NN1,independent,4,0.19,0.74,5.95,0.43
NN1,independent,5,0.57,0.76,5.73,0.46
NN1,independent,6,0.91,0.98,5.80,0.58
NN1,independent,7,1.27,1.16,5.80,0.69
NN1,independent,8,1.68,1.33,5.72,0.80
NN1,independent,9,2.26,1.48,5.82,0.88
NN1,independent,High(H),3.52,1.90,5.89,1.12
NN1,independent,H-L,5.98,2.47,2.91,2.93
NN1,dependent,Low(L),-2.27,-0.47,6.27,-0.26
NN1,dependent,2,-1.01,0.17,6.01,0.10
NN1,dependent,3,-0.40,0.33,5.95,0.19
NN1,dependent,4,0.07,0.73,5.99,0.43
NN1,dependent,5,0.48,0.86,5.86,0.51
NN1,dependent,6,0.87,1.01,5.83,0.60
NN1,dependent,7,1.27,1.18,5.79,0.71
NN1,dependent,8,1.72,1.28,5.69,0.78
NN1,dependent,9,2.29,1.51,5.84,0.90
NN1,dependent,High(H),3.48,1.79,5.80,1.07
NN1,dependent,H-L,5.75,2.26,2.66,2.94
NN2,univariate,Low(L),-2.35,-0.81,9.06,-0.31
NN2,univariate,2,-0.67,0.28,7.19,0.13
NN2,univariate,3,-0.03,0.57,6.08,0.33
NN2,univariate,4,0.34,0.73,5.30,0.48
NN2,univariate,5,0.63,0.90,4.93,0.63
NN2,univariate,6,0.89,1.02,4.81,0.73
NN2,univariate,7,1.15,1.07,4.90,0.76
NN2,univariate,8,1.47,1.26,5.21,0.84
NN2,univariate,9,1.92,1.49,5.67,0.91
NN2,univariate,High(H),3.18,1.90,6.90,0.95
NN2,univariate,H-L,5.53,2.71,4.77,1.97
NN2,independent,Low(L),-2.00,-0.63,6.76,-0.32
NN2,independent,2,-0.64,0.29,6.00,0.17
NN2,independent,3,-0.03,0.54,5.97,0.32
NN2,independent,4,0.34,0.76,5.95,0.44
NN2,independent,5,0.63,1.02,5.81,0.61
NN2,independent,6,0.89,1.08,5.65,0.67
NN2,independent,7,1.16,1.11,5.72,0.67
NN2,independent,8,1.47,1.26,5.66,0.77
NN2,independent,9,1.92,1.50,5.87,0.88
NN2,independent,High(H),2.98,1.90,6.03,1.09
NN2,independent,H-L,5.02,2.62,3.43,2.65
NN2,dependent,Low(L),-1.73,-0.45,6.19,-0.25
NN2,dependent,2,-0.68,0.19,6.02,0.11
NN2,dependent,3,-0.18,0.40,6.03,0.23
NN2,dependent,4,0.19,0.68,5.87,0.40
NN2,dependent,5,0.52,0.85,6.00,0.49
NN2,dependent,6,0.83,1.03,5.76,0.62
NN2,dependent,7,1.15,1.12,5.82,0.67
NN2,dependent,8,1.50,1.28,5.67,0.78
NN2,dependent,9,1.96,1.50,5.74,0.90
NN2,dependent,High(H),2.95,1.78,5.96,1.04
NN2,dependent,H-L,4.69,2.23,2.62,2.95
NN3,univariate,Low(L),-1.93,-0.67,9.04,-0.26
NN3,univariate,2,-0.44,0.31,7.35,0.15
NN3,univariate,3,0.13,0.62,6.13,0.35
NN3,univariate,4,0.46,0.75,5.38,0.48
NN3,univariate,5,0.70,0.85,4.98,0.59
NN3,univariate,6,0.91,0.97,4.80,0.70
NN3,univariate,7,1.12,1.10,4.89,0.78
NN3,univariate,8,1.36,1.27,5.17,0.85
NN3,univariate,9,1.70,1.42,5.63,0.87
NN3,univariate,High(H),2.63,1.78,6.77,0.91
NN3,univariate,H-L,4.56,2.45,4.88,1.74
NN3,independent,Low(L),-1.62,-0.45,6.49,-0.24
NN3,independent,2,-0.42,0.28,6.19,0.16
NN3,independent,3,0.13,0.62,5.93,0.36
NN3,independent,4,0.46,0.78,5.95,0.45
NN3,independent,5,0.70,0.88,5.92,0.52
NN3,independent,6,0.91,0.97,5.65,0.59
NN3,independent,7,1.12,1.16,5.87,0.68
NN3,independent,8,1.36,1.33,5.90,0.78
NN3,independent,9,1.70,1.35,5.78,0.81
NN3,independent,High(H),2.49,1.84,5.93,1.08
NN3,independent,H-L,4.13,2.40,3.37,2.47
NN3,dependent,Low(L),-1.36,-0.40,6.12,-0.23
NN3,dependent,2,-0.42,0.29,6.21,0.16
NN3,dependent,3,0.00,0.47,6.05,0.27
NN3,dependent,4,0.32,0.64,5.94,0.37
NN3,dependent,5,0.59,0.88,5.87,0.52
NN3,dependent,6,0.84,1.06,5.81,0.63
NN3,dependent,7,1.09,1.10,5.70,0.67
NN3,dependent,8,1.37,1.16,5.75,0.70
NN3,dependent,9,1.73,1.45,5.82,0.86
NN3,dependent,High(H),2.45,1.75,5.85,1.04
NN3,dependent,H-L,3.80,2.15,2.70,2.76
NN4,univariate,Low(L),-1.50,-0.61,8.98,-0.24
NN4,univariate,2,-0.34,0.31,7.24,0.15
NN4,univariate,3,0.14,0.60,6.13,0.34
NN4,univariate,4,0.43,0.74,5.37,0.48
NN4,univariate,5,0.64,0.88,5.01,0.61
NN4,univariate,6,0.83,0.98,4.96,0.68
NN4,univariate,7,1.02,1.16,4.98,0.81
NN4,univariate,8,1.23,1.20,5.24,0.80
NN4,univariate,9,1.55,1.45,5.66,0.89
NN4,univariate,High(H),2.38,1.71,6.59,0.90
NN4,univariate,H-L,3.88,2.32,4.96,1.62
NN4,independent,Low(L),-1.28,-0.32,6.61,-0.17
NN4,independent,2,-0.32,0.30,6.07,0.17
NN4,independent,3,0.14,0.59,5.82,0.35
NN4,independent,4,0.43,0.78,5.97,0.45
NN4,independent,5,0.64,0.99,6.06,0.57
NN4,independent,6,0.83,1.07,5.93,0.63
NN4,independent,7,1.02,1.25,5.79,0.75
NN4,independent,8,1.23,1.13,5.81,0.67
NN4,independent,9,1.55,1.56,6.26,0.86
NN4,independent,High(H),2.26,1.71,5.99,0.99
NN4,independent,H-L,3.57,2.17,3.78,1.99
NN4,dependent,Low(L),-1.03,-0.31,5.99,-0.18
NN4,dependent,2,-0.31,0.19,6.05,0.11
NN4,dependent,3,0.04,0.52,5.96,0.30
NN4,dependent,4,0.31,0.69,5.95,0.40
NN4,dependent,5,0.55,0.82,5.88,0.48
NN4,dependent,6,0.77,1.06,5.95,0.61
NN4,dependent,7,0.99,1.19,5.91,0.70
NN4,dependent,8,1.24,1.19,5.82,0.71
NN4,dependent,9,1.56,1.39,5.80,0.83
NN4,dependent,High(H),2.21,1.66,5.79,0.99
NN4,dependent,H-L,3.25,1.96,2.61,2.61
NN5,univariate,Low(L),-1.06,-0.64,8.90,-0.25
NN5,univariate,2,-0.15,0.33,7.25,0.16
NN5,univariate,3,0.21,0.61,6.24,0.34
NN5,univariate,4,0.44,0.81,5.53,0.51
NN5,univariate,5,0.61,0.99,5.24,0.66
NN5,univariate,6,0.76,0.99,5.03,0.68
NN5,univariate,7,0.91,1.10,5.04,0.76
NN5,univariate,8,1.09,1.17,5.23,0.77
NN5,univariate,9,1.32,1.36,5.33,0.88
NN5,univariate,High(H),1.85,1.69,6.35,0.92
NN5,univariate,H-L,2.91,2.33,5.04,1.60
NN5,independent,Low(L),-0.90,-0.26,6.79,-0.13
NN5,independent,2,-0.14,0.33,6.10,0.19
NN5,independent,3,0.21,0.59,5.87,0.35
NN5,independent,4,0.44,0.83,5.94,0.48
NN5,independent,5,0.61,1.04,6.00,0.60
NN5,independent,6,0.76,0.98,5.82,0.58
NN5,independent,7,0.91,1.13,5.86,0.67
NN5,independent,8,1.09,1.18,5.89,0.70
NN5,independent,9,1.32,1.37,5.69,0.83
NN5,independent,High(H),1.79,1.76,5.93,1.03
NN5,independent,H-L,2.70,2.15,3.48,2.14
NN5,dependent,Low(L),-0.72,-0.34,6.10,-0.19
NN5,dependent,2,-0.13,0.23,6.16,0.13
NN5,dependent,3,0.15,0.55,6.01,0.31
NN5,dependent,4,0.36,0.68,5.80,0.40
NN5,dependent,5,0.55,0.87,5.87,0.51
NN5,dependent,6,0.72,0.98,5.82,0.58
NN5,dependent,7,0.89,1.19,5.86,0.70
NN5,dependent,8,1.08,1.16,5.79,0.70
NN5,dependent,9,1.31,1.40,5.86,0.83
NN5,dependent,High(H),1.76,1.68,5.79,1.01
NN5,dependent,H-L,2.48,2.03,2.60,2.71
